,成交商品件数
成交商品件数,1.0
rolling_mean_7,0.7371385698044493
rolling_min_7,0.7055214271909891
rolling_max_7,0.6629506881179807
rolling_mean_14,0.6453770887688343
ma7_diff,0.644838223608401
rolling_min_14,0.6417307693653792
lag_1,0.5885670110514365
rolling_std_7,0.5791197332288354
rolling_min_30,0.5708516936227702
rolling_max_14,0.5643339921838202
diff_7,0.5456965377689169
lag_2,0.5386740494090795
rolling_mean_30,0.5372924537841564
rolling_std_14,0.5217611075781466
lag_3,0.47733593404894564
diff_1,0.4534649428286857
rolling_max_30,0.4532135121995085
rolling_std_30,0.4443643479672329
lag_7,0.4061160100204448
cos_month,0.31880854372146117
trend_norm,0.2959736132788336
lag_14,0.28495189357117245
volatility,0.26445155427688544
lag_30,0.2140459788674572
sin_month,0.06462796802303748
sin_week,0.042073585332438955
is_month_start,0.0017462014756096228
is_month_end,-0.004946248657503093
cos_week,-0.007329862281658653
is_weekend,-0.03577391890902343
quarter,-0.05135051387506136
Unnamed: 2,
Unnamed: 3,
Unnamed: 4,
Unnamed: 5,
Unnamed: 6,
Unnamed: 7,
Unnamed: 8,
Unnamed: 9,
Unnamed: 10,
Unnamed: 11,
Unnamed: 12,
Unnamed: 13,
Unnamed: 14,
Unnamed: 15,
