日期,成交商品件数,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
2021/8/9,43941,,,,,,,,,,,,,,
2021/8/10,44100,,,,,,,,,,,,,,
2021/8/11,50105,,,,,,,,,,,,,,
2021/8/12,70218,,,,,,,,,,,,,,
2021/8/13,79357,,,,,,,,,,,,,,
2021/8/14,70936,,,,,,,,,,,,,,
2021/8/15,53135,,,,,,,,,,,,,,
2021/8/16,57033,,,,,,,,,,,,,,
2021/8/17,50009,,,,,,,,,,,,,,
2021/8/18,119205,,,,,,,,,,,,,,
2021/8/19,48173,,,,,,,,,,,,,,
2021/8/20,45699,,,,,,,,,,,,,,
2021/8/21,33037,,,,,,,,,,,,,,
2021/8/22,30606,,,,,,,,,,,,,,
2021/8/23,32205,,,,,,,,,,,,,,
2021/8/24,37744,,,,,,,,,,,,,,
2021/8/25,57176,,,,,,,,,,,,,,
2021/8/26,53129,,,,,,,,,,,,,,
2021/8/27,40059,,,,,,,,,,,,,,
2021/8/28,38929,,,,,,,,,,,,,,
2021/8/29,55043,,,,,,,,,,,,,,
2021/8/30,62341,,,,,,,,,,,,,,
2021/8/31,55493,,,,,,,,,,,,,,
2021/9/1,63260,,,,,,,,,,,,,,
2021/9/2,62742,,,,,,,,,,,,,,
2021/9/3,79784,,,,,,,,,,,,,,
2021/9/4,71437,,,,,,,,,,,,,,
2021/9/5,61952,,,,,,,,,,,,,,
2021/9/6,73608,,,,,,,,,,,,,,
2021/9/7,85037,,,,,,,,,,,,,,
2021/9/8,74427,,,,,,,,,,,,,,
2021/9/9,338136,,,,,,,,,,,,,,
2021/9/10,88877,,,,,,,,,,,,,,
2021/9/11,38458,,,,,,,,,,,,,,
2021/9/12,32626,,,,,,,,,,,,,,
2021/9/13,50408,,,,,,,,,,,,,,
2021/9/14,75765,,,,,,,,,,,,,,
2021/9/15,63613,,,,,,,,,,,,,,
2021/9/16,51922,,,,,,,,,,,,,,
2021/9/17,53445,,,,,,,,,,,,,,
2021/9/18,55743,,,,,,,,,,,,,,
2021/9/19,44183,,,,,,,,,,,,,,
2021/9/20,32090,,,,,,,,,,,,,,
2021/9/21,22580,,,,,,,,,,,,,,
2021/9/22,30247,,,,,,,,,,,,,,
2021/9/23,28958,,,,,,,,,,,,,,
2021/9/24,25784,,,,,,,,,,,,,,
2021/9/25,33624,,,,,,,,,,,,,,
2021/9/26,33396,,,,,,,,,,,,,,
2021/9/27,39656,,,,,,,,,,,,,,
2021/9/28,42081,,,,,,,,,,,,,,
2021/9/29,53289,,,,,,,,,,,,,,
2021/9/30,33689,,,,,,,,,,,,,,
2021/10/1,33948,,,,,,,,,,,,,,
2021/10/2,38158,,,,,,,,,,,,,,
2021/10/3,33464,,,,,,,,,,,,,,
2021/10/4,39303,,,,,,,,,,,,,,
2021/10/5,33353,,,,,,,,,,,,,,
2021/10/6,50418,,,,,,,,,,,,,,
2021/10/7,44598,,,,,,,,,,,,,,
2021/10/8,52945,,,,,,,,,,,,,,
2021/10/9,53579,,,,,,,,,,,,,,
2021/10/10,48643,,,,,,,,,,,,,,
2021/10/11,42912,,,,,,,,,,,,,,
2021/10/12,36383,,,,,,,,,,,,,,
2021/10/13,58453,,,,,,,,,,,,,,
2021/10/14,51159,,,,,,,,,,,,,,
2021/10/15,49629,,,,,,,,,,,,,,
2021/10/16,37468,,,,,,,,,,,,,,
2021/10/17,32932,,,,,,,,,,,,,,
2021/10/18,48492,,,,,,,,,,,,,,
2021/10/19,41618,,,,,,,,,,,,,,
2021/10/20,64813,,,,,,,,,,,,,,
2021/10/21,59139,,,,,,,,,,,,,,
2021/10/22,55816,,,,,,,,,,,,,,
2021/10/23,39326,,,,,,,,,,,,,,
2021/10/24,45452,,,,,,,,,,,,,,
2021/10/25,65103,,,,,,,,,,,,,,
2021/10/26,73600,,,,,,,,,,,,,,
2021/10/27,70933,,,,,,,,,,,,,,
2021/10/28,61350,,,,,,,,,,,,,,
2021/10/29,50947,,,,,,,,,,,,,,
2021/10/30,49439,,,,,,,,,,,,,,
2021/10/31,166430,,,,,,,,,,,,,,
2021/11/1,158939,,,,,,,,,,,,,,
2021/11/2,122303,,,,,,,,,,,,,,
2021/11/3,157298,,,,,,,,,,,,,,
2021/11/4,75303,,,,,,,,,,,,,,
2021/11/5,52268,,,,,,,,,,,,,,
