日期,预测值,上界,下界
2021-09-07,99371.6875,208926.39446023596,0
2021-09-08,141171.2729681223,299402.8993749217,0
2021-09-09,205426.4193742318,439452.9595358748,0
2021-09-10,285056.0027908067,615036.1915206518,0
2021-09-11,326685.14995537925,710857.8443129191,0
2021-09-12,285297.23825679545,626041.1073620692,0
2021-09-13,193692.97384674687,428588.59931391734,0
2021-09-14,131205.11037657008,292731.20016822004,0
2021-09-15,112332.54273430814,252688.75142003348,0
2021-09-16,115775.2679695291,262560.38107321097,0
2021-09-17,126450.65871839665,289093.9904785274,0
2021-09-18,142662.30694148786,328778.73864954046,0
2021-09-19,162939.50828685364,378503.40418158146,0
2021-09-20,185901.84801581665,435260.0704370597,0
2021-09-21,215137.99005400267,507664.98703728174,0
2021-09-22,244585.33323010043,581646.5624257316,0
2021-09-23,247352.80813984564,592772.874809233,0
2021-09-24,218686.36151022525,528092.944976949,0
2021-09-25,168333.81556389687,409592.5783908989,0
2021-09-26,122056.27425881993,299232.0433240904,0
2021-09-27,97300.46702809416,240328.78720707813,0
2021-09-28,90549.81127000136,225318.71466248983,0
2021-09-29,90886.20140074653,227825.7623156529,0
2021-09-30,93684.6729073946,236562.14687332668,0
2021-10-01,102432.83983849878,260534.20701369265,0
2021-10-02,136727.22291991697,350273.0281474976,0
2021-10-03,201783.30423331243,520643.86596161936,0
2021-10-04,273303.0350198354,710201.8164133254,0
2021-10-05,308325.7106714817,806876.6508006841,0
2021-10-06,282871.64259762515,745461.9674626703,0
2021-10-07,215306.31446672068,571360.751824796,0
2021-10-08,144212.92907317428,385349.2976504061,0
2021-10-09,111852.36145437659,300934.32820989814,0
2021-10-10,103949.60419539762,281582.30325469375,0
2021-10-11,105822.69710883858,288600.6487799418,0
2021-10-12,106988.39128983818,293745.6062680317,0
2021-10-13,111856.20379623058,309165.90335958713,0
2021-10-14,133873.6442038514,372481.0648644273,0
2021-10-15,177386.47241198973,496807.6446268187,0
2021-10-16,238596.3470739824,672622.7115858084,0
2021-10-17,278077.2084029485,789032.0528752147,0
2021-10-18,269280.91879016097,769020.8819381078,0
2021-10-19,222777.18467355246,640307.4959442914,0
2021-10-20,161147.19715635348,466131.2329895899,0
2021-10-21,118262.73356335938,344257.49833047524,0
2021-10-22,100232.72774732433,293614.6953557605,0
2021-10-23,96135.10602047949,283377.8517771575,0
2021-10-24,96348.87308617293,285778.3427207031,0
2021-10-25,99225.06515812897,296132.5724973441,0
2021-10-26,110732.66401732464,332511.1286245138,0
2021-10-27,146594.47200648094,442891.57482272305,0
2021-10-28,214503.07296216642,651998.606142223,0
2021-10-29,292176.2931470113,893460.9524490329,0
2021-10-30,320638.6543695295,986389.0710584437,0
2021-10-31,276451.99116654694,855536.1701845102,0
2021-11-01,191133.13829823324,595011.8453687821,0
2021-11-02,129220.9073057359,404648.7886845613,0
2021-11-03,106790.79744391388,336372.2596087272,0
2021-11-04,106969.28473916916,338899.9775928378,0
2021-11-05,115632.78292237439,368472.36598081497,0
